Brewery,%,Total votes
Pirate Life,9.60%,1541
Feral Brewing Company,5.20%,839
Balter Brewing,4.50%,724
Stone and Wood,4.10%,656
Bridge Road Brewers,3.80%,605
Modus Operandi Brewing Company,3.50%,562
4 Pines Brewing Company,3.40%,553
Little Creatures Brewing,3.10%,502
Boatrocker Brewers & Distillers,1.90%,307
Batch Brewing Company,1.60%,266
Bentspoke Brewing Co,1.60%,266
James Squire,1.60%,264
Mountain Goat Beer,1.60%,263
Two Birds Brewing,1.60%,258
Mornington Peninsular Brewery,1.50%,237
Kaiju! Beer,1.40%,227
Moon Dog Brewing Co,1.30%,210
Young Henrys,1.30%,208
Murrays Craft Brewing Co,1.30%,204
Akasha Brewing Company,1.20%,200
Bacchus Brewing Company,1.10%,170
Hawkers Beer,1.10%,170
Gage Roads Brewing Co,0.90%,142
La Sirene Brewing,0.90%,139
Prancing Pony Brewery,0.90%,138
Fat Yak / Yak Ales,0.80%,125
Burleigh Brewing Company Pty Ltd,0.70%,120
Holgate Brewhouse,0.70%,115
Black Hops Brewing,0.70%,110
Green Beacon Brewing Company,0.70%,110
Big Shed Brewing Concern,0.70%,109
Bad Shepherd Brewing,0.70%,106
Wayward Brewing Co,0.60%,104
White Rabbit,0.60%,98
Bright Brewery,0.60%,95
Colonial Brewing Co,0.60%,95
Coopers,0.60%,92
Nail Brewing Australia,0.50%,86
Moo Brew,0.50%,82
Little Bang Brewing Company,0.50%,81
Lord Nelson Brewery,0.50%,76
3 Ravens,0.50%,73
2 Brothers Brewery,0.40%,66
Grifter Brewing Company,0.40%,64
Hop Nation Brewing Co,0.40%,64
Blackman_s Brewery,0.40%,63
Stomping Ground Brewing Co,0.40%,63
Newstead Brewing Company,0.40%,62
Two Metre Tall Company,0.40%,62
Stockade Brew Co,0.40%,61
Matilda Bay,0.40%,60
Hargreaves Hill Brewing Co,0.40%,59
Willie The Boatman,0.30%,55
Red Duck Brewery,0.30%,53
Otway Brewing (Prickly Moses),0.30%,52
BlackFont Brewhouse,0.30%,50
Fixation Brewing Co,0.30%,47
Woolshed Brewery,0.30%,47
Matso_s Broome Brewery,0.30%,45
Red Hill Brewery,0.30%,45
Nomad Brewing Company,0.30%,44
Dainton Family Brewery,0.30%,42
Foghorn Brewhouse,0.30%,42
Hawthorn Brewing Co,0.30%,42
Six String Brewing Co,0.30%,42
Cheeky Monkey Brewery & Cidery,0.30%,41
Furphy,0.30%,41
Thirsty Crow Brewing Co,0.20%,40
Cricketer's Arms,0.20%,39
Eagle Bay Brewing Co,0.20%,39
Yenda (Australian Beer Company),0.20%,39
Doctor_s Orders Brewing,0.20%,37
Byron Bay Brewing Co,0.20%,35
Ekim Brewing Company,0.20%,35
Ballistic Beer Co,0.20%,34
Exit Brewing,0.20%,34
Riverside Brewing Company (NSW),0.20%,34
Mismatch Brewing Company,0.20%,33
Seven Sheds Brewery,0.20%,33
Yak Ales / Fat Yak,0.20%,33
Smiling Samoyed Brewery,0.20%,32
Little Brewing Company (Wicked Elf),0.20%,31
Sailors Grave Brewing,0.20%,31
Wolf of the Willows,0.20%,31
Grand Ridge Brewery,0.20%,30
Kosciuszko Brewing Company,0.20%,30
Lobethal Bierhaus,0.20%,30
Hopdog Beerworks,0.20%,29
Rocks Brewing Co,0.20%,29
Badlands Brewery,0.20%,28
Black Dog Brewery,0.20%,28
Cavalier Brewing,0.20%,28
4 Brothers Brewing,0.20%,27
Brouhaha Brewery,0.20%,27
Shenanigans Brewing,0.20%,27
Five Barrel Brewing,0.20%,26
Pact Brewing,0.20%,26
Two Heads Brewing,0.20%,26
Barossa Valley Brewing,0.20%,25
Dad & Dave_s Brewing,0.20%,25
Bootleg Brewery,0.10%,24
Brew Boys Brewery,0.10%,24
Coldstream Brewery,0.10%,24
Mash Brewing,0.10%,24
New England Brewing Co.,0.10%,24
Odyssey Tavern and Brewery,0.10%,23
Bruny Island Beer Co,0.10%,22
Vale Brewing (Mclaren Vale Beer),0.10%,22
Athletic Club Brewery,0.10%,21
Illawarra Brewing Company,0.10%,21
Redoak Boutique Beer Caf,0.10%,21
Dos Blockos (East 9th Brewing Co),0.10%,20
Fortitude Brewing Company,0.10%,20
All Inn Brewing Co,0.10%,19
Bargara Brewing Company,0.10%,19
Capital Brewing Co,0.10%,19
Hobart Brewing Company,0.10%,19
Barrow Boys Brewing Co,0.10%,18
Block_n Tackle Brewery,0.10%,18
Brewhouse Margaret River,0.10%,18
Fox Hat Brewing,0.10%,18
Kooinda Brewery,0.10%,18
Quiet Deeds,0.10%,18
Temple Brewery,0.10%,18
Thunder Road Brewing Company,0.10%,18
Wheaty Brewing Corps,0.10%,18
Brewcult,0.10%,17
Bucket Brewery,0.10%,17
CoConspirators Brewing,0.10%,17
Forrest Brewing Co,0.10%,17
Mr Banks Brewing Co,0.10%,17
Ocean Reach Brewing,0.10%,17
Shark Island Brewing Company,0.10%,17
4 Hearts Brewing Company,0.10%,16
Black Duck Brewery,0.10%,16
King River Brewing,0.10%,16
Sweet Amber Brew Caf,0.10%,16
Your Mates Brewing Co,0.10%,16
Yulli_s Brews,0.10%,16
Black Brewing Co,0.10%,15
Goodieson Brewery,0.10%,15
Wildflower Brewing & Blending,0.10%,15
Brisbane Brewing Company,0.10%,14
Bucket Boys Craft Beer Co,0.10%,14
Castlemaine Brewing Co,0.10%,14
Moffat Beach Brewing Company,0.10%,14
Sample Brew,0.10%,14
40 Acres Brewing,0.10%,13
7 Cent Brewery,0.10%,13
Balmain Brewing Company,0.10%,13
Endeavour Beer,0.10%,13
Arctic Fox Brewing,0.10%,12
Hemingway_s Brewery,0.10%,12
Hunter Beer Co,0.10%,12
IronBark Hill Brewhouse (NSW),0.10%,12
Napoleone Brewers,0.10%,12
Old Wives Ales,0.10%,12
Philter Brewing,0.10%,12
Shambles Brewery,0.10%,12
The Beer Farm,0.10%,12
10 Toes Brewery,0.10%,11
Bodriggy Brewing Company,0.10%,11
Boston Brewing Co,0.10%,11
Buckley_s Brewery,0.10%,11
Devils Brewery,0.10%,11
Fury & Son Brewing Company,0.10%,11
Hope Brewhouse,0.10%,11
Little Rivers Brewing Co,0.10%,11
Merchant Brewing Company,0.10%,11
Pikes Beer Company Pty Ltd,0.10%,11
Southern Bay Brewing Co,0.10%,11
Sydney Brewery,0.10%,11
Tallboy and Moose,0.10%,11
Watts River Brewing,0.10%,11
Aardvark & Arrow Microbrewery,0.10%,10
Cascade Brewery,0.10%,10
Edge Brewing Project,0.10%,10
Innate Brewers,0.10%,10
Killer Sprocket,0.10%,10
Last Rites Brewing Co,0.10%,10
Mildura Brewery,0.10%,10
Southern Highlands Brewing Co,0.10%,10
Tooborac Hotel and Brewery,0.10%,10
West City Brewing,0.10%,10
3 Pub Circus,0.10%,9
Bandicoot Brewing,0.10%,9
Blizzard Brewing Co,0.10%,9
Artisan Brewing Pty Ltd,0%,8
Brewtal Brewers,0%,8
Bullant Brewery,0%,8
Dusty Miner Craft Brewery,0%,8
Flat Rock Brew Caf,0%,8
Noisy Minor Brewing Company,0%,8
Otherside Brewing Co,0%,8
Sunday Road Brewing Co,0%,8
That Little Brewery,0%,8
The Australian Brewery,0%,8
Three Rivers Brewing Company,0%,8
Wig & Pen Tavern & Brewery,0%,8
Aether Brewing,0%,7
Broo,0%,7
Hairyman Brewery,0%,7
Left Barrel Brewing,0%,7
Rogue Wave Brewing Company,0%,7
Sauce Brewing Co,0%,7
Tumut River Brewing Company,0%,7
Van Dieman Brewing,0%,7
Westside Ale Works,0%,7
