Bar,%,Total votes
Bitter Phew,7.90%,338
The Grain Store,7.60%,327
The Local Taphouse Darlinghurst,6.30%,272
Keg & Brew,5.30%,227
The Union Hotel,4.50%,194
Dove & Olive Hotel,4.10%,175
Royal Albert Hotel,3.00%,127
Harts Pub,2.90%,124
Quarrymans Hotel,2.20%,96
FogHorn Brewhouse Central Coast,1.70%,74
Frankie's Pizza,1.70%,74
The Henson,1.70%,73
The Noble Hops,1.60%,68
Beer Deluxe King St. Wharf,1.60%,67
Forest Lodge Hotel,1.50%,65
Warners at the Bay,1.20%,51
Welcome Hotel,1.20%,51
The Australian Heritage Hotel,1.10%,48
Bankstown Sports Club,1.10%,47
Petersham Bowling Club,1.10%,47
The Beach Club Collaroy,1.10%,47
Pumphouse Sydney,1.00%,44
Dee Why Hotel,1.00%,41
