Bar,%,Total votes
Archive Beer Boutique,9.30%,204
Brewski,8.00%,175
The Scratch Bar,7.90%,173
Bine Bar & Dining,4.30%,95
Black Bunny Kitchen,4.10%,89
The House of Brews,3.50%,77
Brewhouse Brisbane,3.30%,72
Fitz + Potts,3.10%,67
Lester & Earl,2.90%,63
Tippler's Tap,2.80%,62
Taphouse,2.50%,54
Bloodhound Corner Bar,2.20%,49
Saccharomyces Beer Cafe,2.10%,47
Bavarian Bier Cafe Eagle Street Pier,2.00%,43
Ze Pickle Burleigh Heads,1.80%,39
The Mill,1.70%,37
Backbone,1.60%,36
Netherworld,1.60%,36
Woolly Mammoth Alehouse,1.60%,36
Bavarian Bier Cafe Broadbeach,1.60%,35
Taps Mooloolaba,1.50%,34
Greenslopes Cellars,1.30%,28
Malt Traders City,1.20%,27
The Spotted Cow,1.20%,26
Tap'd,1.10%,24
Blackwater Trading Co,1.10%,24
