Bar,%,Total votes
The Wheatsheaf Hotel,29.30%,342
NOLA Adelaide,13.80%,161
Gilbert Street Hotel,7.80%,91
The Kings Head Hotel,3.90%,46
Treasury 1860,2.70%,32
The Curious Squire,2.20%,26
Oostende Belgian Beer Cafe,2.10%,24
Earl of Leicester,2.00%,23
The Royal Oak,2.00%,23
Franklin Hotel,1.90%,22
Stein's Taphouse and Wine Bar,1.50%,18
The Highway,1.50%,17
The Earl of Leicester,1.40%,16
Coopers Alehouse Gepps Cross,1.30%,15
Stirling Hotel,1.30%,15
The Warradale Hotel,1.20%,14
The Austral,1.10%,13
The Elephant British Pub,1.00%,12
