Bar,%,Total votes
The Local Taphouse St Kilda,9.20%,471
Carwyn Cellars,9.20%,466
Grape & Grain,7.50%,381
Beer DeLuxe Melbourne,5.70%,291
Great Northern Hotel,3.00%,155
The Alehouse Project,2.90%,148
Foresters Pub & Dining,2.20%,114
Hop Temple,2.20%,110
The Terminus Hotel,2.20%,110
Belgian Beer Cafe Melbourne,2.00%,104
Slow Beer Richmond,1.90%,97
Beermash,1.70%,89
Boilermaker House,1.70%,89
Royston Hotel,1.40%,72
Beer Deluxe Hawthorn,1.40%,70
The Catfish,1.30%,67
Mrs Parma's - Melbourne,1.30%,66
Bar Josephine,1.30%,64
Cookie,1.10%,57
Junction Beer Hall & Wine Bar,1.10%,57
Mr Paul's Beer & Wine,1.10%,54
Oscar's Alehouse,1.00%,52
Slow Beer Fitzroy,1.00%,51
